Store,Type,Department,Weekly_Sales,Is_Holiday,Temperature,Fuel_Price,Unemployment,Date1,Date2
7,C,12,3087.73,0,83.3,2.85,7.83,2022-12-08,2023-03-26
10,B,6,3461.52,0,67.2,2.69,6.34,2022-11-20,2023-10-24
3,B,88,8102.32,1,63.0,2.96,4.04,2022-06-16,2023-05-25
9,C,76,9061.82,0,45.6,4.18,5.2,2022-09-14,2023-05-02
7,C,8,7646.38,0,33.5,3.16,9.23,2022-05-04,2023-06-09
7,C,86,5052.22,0,35.6,2.18,6.48,2022-10-23,2023-10-02
5,C,10,8177.43,0,27.6,4.9,6.11,2022-11-24,2023-12-20
9,A,92,1353.12,0,67.1,4.62,7.31,2022-03-27,2023-12-17
2,B,16,4112.0,0,67.8,3.13,6.04,2022-12-03,2023-10-26
6,A,96,9942.27,1,64.6,2.03,8.4,2023-01-01,2023-01-19
5,B,34,4230.83,0,24.2,4.92,8.25,2022-10-15,2023-09-26
6,B,12,5625.44,0,25.6,4.39,7.8,2022-11-10,2023-05-08
8,B,60,6112.16,1,22.8,4.85,6.18,2022-09-08,2023-10-17
2,B,92,6184.63,0,70.5,4.57,9.22,2022-12-06,2023-04-26
3,C,71,7518.72,0,60.8,4.26,7.22,2022-09-14,2023-04-02
5,B,79,4805.11,1,74.2,4.88,4.77,2022-04-08,2023-12-09
4,A,33,2109.52,1,30.6,4.13,8.43,2022-02-23,2023-08-04
9,A,59,5977.02,1,37.9,2.01,9.39,2022-06-28,2023-08-17
7,C,81,7702.87,0,95.5,2.64,9.27,2022-07-20,2023-04-19
10,B,99,3531.26,1,89.6,3.71,9.25,2022-12-01,2023-12-24
